time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449100000	18.9969	16.8312	4.75568	2.14926	0.575451	lidar	0.00487099	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8409	17.0245	4.76459	2.19957	0.610726	radar	6.88957	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6806	17.2412	4.7953	2.23175	0.610622	lidar	1.30401	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5701	17.4448	4.78686	2.2323	0.565446	radar	5.70804	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3655	17.6237	4.80624	2.27757	0.579469	lidar	3.96927	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.227	17.8131	4.80035	2.28907	0.551974	radar	2.68927	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0908	17.9982	4.79334	2.30884	0.545421	lidar	0.868334	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9151	18.1571	4.78811	2.34672	0.560414	radar	1.79595	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7732	18.3076	4.7578	2.37047	0.558121	lidar	1.32078	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6355	18.4909	4.75152	2.38089	0.537628	radar	6.89869	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4477	18.6609	4.76645	2.40959	0.538526	lidar	0.314229	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2653	18.8062	4.75998	2.44107	0.54459	radar	1.70244	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.0981	18.9453	4.74048	2.46664	0.544002	lidar	0.514414	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9305	19.1143	4.74335	2.48025	0.527293	radar	3.19634	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7151	19.2269	4.73895	2.51959	0.53889	lidar	2.65624	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5274	19.3784	4.74602	2.54171	0.534797	radar	3.15894	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.313	19.5273	4.77015	2.56811	0.533466	lidar	0.765969	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
